ชื่อ - สกุล,ปี จัดแข่งขัน,รายการ,ประเภท,ตำแหน่ง,สังกัด
สกุณา วีระสุวรรณ,2567,King Cup 2024,ประเภทเยาวชนหญิงคู่อายุ 12 - 15  ปี,รองชนะเลิศ,สโมสรเทเบิลเทนนิสบ้านปู
สกุณา วีระสุวรรณ,2567,SET Table Tennis Club Championships 2024,ประเภททีมเยาวชนหญิงอายุไม่เกิน  15 ปี,ชนะเลิศ,สโมสรเทเบิลเทนนิสบ้านปู A
สกุณา วีระสุวรรณ,2567,All Thailand2024 Circuit 1,ประเภทเยาวชนหญิงคู่อายุ 12 - 15  ปี,ตำแหน่งที่ 3,ชมรมเทเบิลเทนนิสช่องฟ้าซินเซิงวาณิชบำรุง
สกุณา วีระสุวรรณ,2567,All Thailand2024 Circuit 1,ประเภทเยาวชนหญิงเดี่ยวอายุไม่เกิน 15 ปี ,รองชนะเลิศ,ชมรมเทเบิลเทนนิสช่องฟ้าซินเซิงวาณิชบำรุง
สกุณา วีระสุวรรณ,2567,All Thailand 2024 Circuit 2,ประเภทเยาวชนหญิงคู่อายุ 12 - 15  ปี,ตำแหน่งที่ 3,สโมสรเทเบิลเทนนิสบ้านปู
สกุณา วีระสุวรรณ,2567,All Thailand 2024 Circuit 3,ประเภทเยาวชนหญิงคู่อายุ 12 - 15  ปี,ตำแหน่งที่ 3,สโมสรเทเบิลเทนนิสบ้านปู
สกุณา วีระสุวรรณ,2567,All Thailand 2024 Circuit 3,ประเภทเยาวชนหญิงคู่อายุ 16 -19 ปี,ตำแหน่งที่ 3,สโมสรเทเบิลเทนนิสบ้านปู
สกุณา วีระสุวรรณ,2567,All Thailand 2024 Circuit 3,ประเภทเยาวชนหญิงเดี่ยวอายุไม่เกิน 15 ปี ,รองชนะเลิศ,สโมสรเทเบิลเทนนิสบ้านปู
สกุณา วีระสุวรรณ,2567,BUTTERFLY & SISB OPEN 2024,ประเภทเยาวชนหญิงเดี่ยวอายุไม่เกิน 15 ปี ,รองชนะเลิศ,สโมสรเทเบิลเทนนิสบ้านปู
สกุณา วีระสุวรรณ,2566,All Thailand 2023 Circuit 2,ประเภทเยาวชนหญิงคู่อายุ 12 - 15  ปี,ชนะเลิศ,BP
สกุณา วีระสุวรรณ,2566,CHIANGMAI PINGPONG FOR FUN II,ประเภทเยาวชนหญิงเดี่ยวอายุไม่เกิน 15 ปี ,ชนะเลิศ,ยิมสามบาท เชียงใหม่
สกุณา วีระสุวรรณ,2565,M Electrolyte Club Table Tennis Championships 2021,ประเภททีมเยาวชนหญิงอายุไม่เกิน  13 ปี,รองชนะเลิศ,BP
สกุณา วีระสุวรรณ,2565,M Electrolyte Table Tennis Club Championships 2022,ประเภททีมเยาวชนหญิงอายุไม่เกิน   13 ปี,ชนะเลิศ,สโมสรเทเบิลเทนนิสตำรวจ A
สงกรานต์ ภาคโชคดี,2567,M – Sport Master Table Tennis Club Championships 2024,ประเภททีมชายอายุ 70 ปี ขึ้นไป,ตำแหน่งที่ 3,ITC GLOBAL M702
สงกรานต์ ภาคโชคดี,2566,King Cup 2023,ประเภทชายเดี่ยวอายุ 70 ปี ขึ้นไป ,ชนะเลิศ,ศูนย์เยาวชนเขตสะพานสูง
สมเกียรติ เจียดำรงค์,2567,M – Sport Master Table Tennis Club Championships 2024,ประเภททีมชายอายุ 60 - 64 ปี,ตำแหน่งที่ 3,BIE 601
สมชาย คงเสรีดำรง,2568,SET Table Tennis Club Championships 2025,ประเภททีมอาวุโสชายอายุ 60 – 64 ปี,รองชนะเลิศ,สโมสรเทเบิลเทนนิสตำรวจ M602
สมชาย คงเสรีดำรง,2567,M – Sport Master Table Tennis Club Championships 2024,ประเภททีมชายอายุ 60 - 64 ปี,รองชนะเลิศ,สโมสรเทเบิลเทนนิสตำรวจ M602
สมชาย จารุจุฑารัตน์,2568,"Masters , Hopes & Kids 2025 Circuit 1",ประเภทชายเดี่ยวอายุ 70 ปี ขึ้นไป ,ชนะเลิศ,EGAT
สมชาย จารุจุฑารัตน์,2568,"Masters , Hopes & Kids 2025 Circuit 1",ประเภทชายเดี่ยวอายุ 65 ปี ขึ้นไป,รองชนะเลิศ,EGAT
สมชาย จารุจุฑารัตน์,2568,"Masters , Hopes & Kids 2025 Circuit 2",ประเภทชายเดี่ยวอายุ 70 ปี ขึ้นไป ,ชนะเลิศ,EGAT
สมชาย จารุจุฑารัตน์,2567,M – Sport Master Table Tennis Club Championships 2024,ประเภททีมชายอายุ 65 – 69 ปี,รองชนะเลิศ,BIE 651
สมชาย จารุจุฑารัตน์,2567,Master Table Tennis 2024 Circuit 2,ประเภทชายเดี่ยวอายุ 65 ปี ขึ้นไป,ตำแหน่งที่ 3,EGAT
สมชาย จารุจุฑารัตน์,2566,King Cup 2023,ประเภทชายเดี่ยวอายุ 65 ปี ขึ้นไป,ตำแหน่งที่ 3,EGAT
สมชาย จารุจุฑารัตน์,2566,Master Table Tennis Club Championships 2023,ประเภททีมชายอายุ 65 – 69 ปี,รองชนะเลิศ,BIE 651
สมชาย จารุจุฑารัตน์,2565,M Electrolyte Master Club Table Tennis Championships 2021,ประเภททีมชายอายุ 65 – 69 ปี,รองชนะเลิศ,BIE 654
สมชาย จารุจุฑารัตน์,2565,Master Table Tennis 2022 Circuit 1,ประเภทชายเดี่ยวอายุ 65 ปี ขึ้นไป,รองชนะเลิศ,EGAT
สมชาย จารุจุฑารัตน์,2564,King Cup 2021,ประเภทชายเดี่ยวอายุ 65 ปีขึ้นไป,ตำแหน่งที่ 3,EGAT
สมชาย อึ้อพาณิชย์,2566,King Cup 2023,ประเภทชายเดี่ยวอายุ 60 ปี ขึ้นไป,ชนะเลิศ,ไทยรุ่ง
สมชาย อึ้อพาณิชย์,2566,Master Table Tennis Club Championships 2023,ประเภททีมชายอายุ 50 – 59 ปี,ตำแหน่งที่ 3,ไทยรุ่ง
สมชาย อึ้อพาณิชย์,2565,King Cup 2022,ประเภทชายเดี่ยวอายุ 50 ปีขึ้นไป,ชนะเลิศ,ไทยรุ่ง
สมชาย อึ้อพาณิชย์,2565,King Cup 2022,ประเภทชายเดี่ยวอายุ 60 ปีขึ้นไป,ชนะเลิศ,ไทยรุ่ง
สมชาย อึ้อพาณิชย์,2565,M Electrolyte Master Club Table Tennis Championships 2021,ประเภททีมชายอายุ 50 – 59 ปี,รองชนะเลิศ,ไทยรุ่ง
สมชาย อึ้อพาณิชย์,2565,M Electrolyte Master Table Tennis Club Championships 2022,ประเภททีมชายอายุ 50 – 59 ปี,รองชนะเลิศ,ไทยรุ่ง
สมชาย อึ้อพาณิชย์,2565,Master Table Tennis 2022 Circuit 1,ประเภทชายเดี่ยวอายุ 60 ปี ขึ้นไป,ตำแหน่งที่ 3,ไทยรุ่ง
สมชาย อึ้อพาณิชย์,2565,Master Table Tennis 2022 Circuit 1,ประเภทชายเดี่ยวอายุ 50 ปี ขึ้นไป,ชนะเลิศ,ไทยรุ่ง
สมชาย อึ้อพาณิชย์,2565,Master Table Tennis 2021 Circuit 1,ประเภทชายเดี่ยวอายุ 50 ปี ขึ้นไป,รองชนะเลิศ,ไทยรุ่ง
สมชาย อึ้อพาณิชย์,2565,Master Table Tennis 2022 Circuit 2,ประเภทชายเดี่ยวอายุ 60 ปี ขึ้นไป,ชนะเลิศ,ไทยรุ่ง
สมชาย อึ้อพาณิชย์,2565,Master Table Tennis 2022 Circuit 2,ประเภทชายเดี่ยวอายุ 50 ปี ขึ้นไป,ตำแหน่งที่ 3,ไทยรุ่ง
สมณีย์ มงคลโภชน์,2568,SET Table Tennis Club Championships 2025,ประเภททีมอาวุโสหญิงอายุ 70 ปี ขึ้นไป,ตำแหน่งที่ 3,สโมสรเทเบิลเทนนิสตำรวจ W703
สมณีย์ มงคลโภชน์,2568,"Masters , Hopes & Kids 2025 Circuit 2",ประเภทหญิงเดี่ยวอายุ 70 ปี ขึ้นไป ,ตำแหน่งที่ 3,ปิงปองอาวุโสตำรวจ
สมณีย์ มงคลโภชน์,2568,"Masters , Hopes & Kids 2025 Circuit 3",ประเภทหญิงเดี่ยวอายุ 70 ปี ขึ้นไป ,รองชนะเลิศ,ปิงปองอาวุโสตำรวจ
สมณีย์ มงคลโภชน์,2567,King Cup 2024,ประเภทหญิงเดี่ยวอายุ 70 ปี ขึ้นไป ,ตำแหน่งที่ 3,สโมสรเทเบิลเทนนิสตำรวจ
สมณีย์ มงคลโภชน์,2567,M – Sport Master Table Tennis Club Championships 2024,ประเภททีมหญิงอายุ 70 ปี ขึ้นไป,รองชนะเลิศ,สโมสรเทเบิลเทนนิสตำรวจ W701
สมณีย์ มงคลโภชน์,2567,Master Table Tennis 2024 Circuit 1,ประเภทหญิงเดี่ยวอายุ 65 ปี ขึ้นไป,ตำแหน่งที่ 3,ปิงปองอาวุโสตำรวจ
สมณีย์ มงคลโภชน์,2567,Master Table Tennis 2024 Circuit 3,ประเภทหญิงเดี่ยวอายุ 65 ปี ขึ้นไป,ตำแหน่งที่ 3,ปิงปองอาวุโสตำรวจ
สมณีย์ มงคลโภชน์,2567,BUTTERFLY & SISB OPEN 2024,ประเภทหญิงเดี่ยวอายุ 65 ปีขึ้นไป,ตำแหน่งที่ 3,ปิงปองอาวุโสตำรวจ
สมณีย์ มงคลโภชน์,2566,Master Table Tennis Club Championships 2023,ประเภททีมหญิงอายุ 65 - 69 ปี,ตำแหน่งที่ 3,สโมสรเทเบิลเทนนิสตำรวจ W652
สมณีย์ มงคลโภชน์,2566,CHIANGMAI PINGPONG FOR FUN II,ประเภทหญิงเดี่ยวอายุ 60 ปี ขึ้นไป,ตำแหน่งที่ 3,ปิงปองอาวุโสตำรวจ
สมณีย์ มงคลโภชน์,2566,CHIANGMAI PINGPONG FOR FUN II,ประเภทหญิงเดี่ยวอายุ 65 ปี ขึ้นไป,ตำแหน่งที่ 3,ปิงปองอาวุโสตำรวจ
สมทรง กลิ่นประทุม,2565,M Electrolyte Master Club Table Tennis Championships 2021,ประเภททีมชายอายุ 70 ปี ขึ้นไป,ตำแหน่งที่ 3,BIE 702
สมทรง กลิ่นประทุม,2565,M Electrolyte Master Table Tennis Club Championships 2022,ประเภททีมชายอายุ 70 ปี,ตำแหน่งที่ 3,BIE 701
สมนึก กลิ่นหอม,2568,SET Table Tennis Club Championships 2025,ประเภททีมอาวุโสชายอายุ 60 – 64 ปี,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล A
สมนึก กลิ่นหอม,2567,M – Sport Master Table Tennis Club Championships 2024,ประเภททีมชายอายุ 60 - 64 ปี,ตำแหน่งที่ 3,BIE 601
สมบัติ กลมเกลียว,2568,SET Table Tennis Club Championships 2025,ประเภททีมอาวุโสชายอายุ 50 – 59 ปี,ตำแหน่งที่ 3,สโมสรเทเบิลเทนนิสตำรวจ พญาตานี506
สมบัติ กลมเกลียว,2568,"Masters , Hopes & Kids 2025 Circuit 1",ประเภทชายเดี่ยวอายุ 50 ปี ขึ้นไป,ชนะเลิศ,มหาวิทยาลัยธนบุรี
สมบัติ กลมเกลียว,2567,M – Sport Master Table Tennis Club Championships 2024,ประเภททีมชายอายุ 50 – 59 ปี,รองชนะเลิศ,สโมสรเทเบิลเทนนิสตำรวจ M501
สมบัติ กลมเกลียว,2566,King Cup 2023,ประเภทชายเดี่ยวอายุ 50 ปี ขึ้นไป,รองชนะเลิศ,NCN TABEL TENNIS TEAM
สมบัติ กลมเกลียว,2566,Master Table Tennis Club Championships 2023,ประเภททีมชายอายุ 50 – 59 ปี,ตำแหน่งที่ 3,ไทยรุ่ง
สมพงษ์ ตามเพชรเติม,2568,SET Table Tennis Club Championships 2025,ประเภททีมอาวุโสชายอายุ 40 – 49 ปี,รองชนะเลิศ,การท่าเรือแห่งประเทศไทย A
สมพงษ์ ตามเพชรเติม,2567,M – Sport Master Table Tennis Club Championships 2024,ประเภททีมชายอายุ 40 – 49 ปี,ตำแหน่งที่ 3,NCN TABEL TENNIS TEAM 401
สมพงษ์ ตามเพชรเติม,2566,Master Table Tennis Club Championships 2023,ประเภททีมชายอายุ 40 – 49 ปี,รองชนะเลิศ,NCN TABEL TENNIS TEAM A
สมพงษ์ ตามเพชรเติม,2565,M Electrolyte Master Club Table Tennis Championships 2021,ประเภททีมชายอายุ 40 – 49 ปี,รองชนะเลิศ,การท่าเรือแห่งประเทศไทย
สมพงษ์ ตามเพชรเติม,2565,M Electrolyte Master Table Tennis Club Championships 2022,ประเภททีมชายอายุ 40 – 49 ปี,รองชนะเลิศ,การท่าเรือแห่งประเทศไทย A
สมพงษ์ ตามเพชรเติม,2565,Master Table Tennis 2022 Circuit 1,ประเภทชายเดี่ยวอายุ 40 ปี ขึ้นไป,ตำแหน่งที่ 3,การท่าเรือแห่งประเทศไทย
สมพงษ์ ตามเพชรเติม,2564,King Cup 2021,ประเภทชายเดี่ยวอายุ 40 ปีขึ้นไป,ตำแหน่งที่ 3,การท่าเรือแห่งประเทศไทย
สมแพง งามสนิท,2567,M – Sport Master Table Tennis Club Championships 2024,ประเภททีมหญิงอายุ 60 - 64 ปี,ตำแหน่งที่ 3,ITC GLOBAL W60G
สมแพง งามสนิท,2566,Master Table Tennis Club Championships 2023,ประเภททีมหญิงอายุ 60 - 64 ปี,ตำแหน่งที่ 3,ITC GLOBAL 603
สมแพง งามสนิท,2565,King Cup 2022,ประเภทหญิงเดี่ยวอายุ 60 ปีขึ้นไป,ตำแหน่งที่ 3,ITC GLOBAL
สมยศ เพ็งจั่น,2565,M Electrolyte Master Club Table Tennis Championships 2021,ประเภททีมชายอายุ 65 – 69 ปี,ชนะเลิศ,สโมสรเทเบิลเทนนิสตำรวจ M651
สมยศ เพ็งจั่น,2565,M Electrolyte Master Table Tennis Club Championships 2022,ประเภททีมชายอายุ 65 – 69 ปี,รองชนะเลิศ,สโมสรเทเบิลเทนนิสตำรวจ M651
สมฤทธิ์ จิโรจน์วณิชชากร,2568,SET Table Tennis Club Championships 2025,ประเภททีมอาวุโสชายอายุ 50 – 59 ปี,ตำแหน่งที่ 3,สโมสรเทเบิลเทนนิสตำรวจ พญาตานี506
สมฤทธิ์ จิโรจน์วณิชชากร,2567,M – Sport Master Table Tennis Club Championships 2024,ประเภททีมชายอายุ 50 – 59 ปี,ตำแหน่งที่ 3,พญาตานี
สมศักดิ์ การถาง,2568,SET Table Tennis Club Championships 2025,ประเภททีมอาวุโสชายอายุ 50 – 59 ปี,รองชนะเลิศ,สโมสรกีฬาเซ็นทรัล A
สมศักดิ์ การถาง,2568,All Thailand 2025 Circuit 1,ประเภทชายเดี่ยวอายุ 50 ปี ขึ้นไป,รองชนะเลิศ,สโมสรกีฬาเซ็นทรัล
สมศักดิ์ การถาง,2568,"Masters , Hopes & Kids 2025 Circuit 1",ประเภทชายเดี่ยวอายุ 50 ปี ขึ้นไป,รองชนะเลิศ,สโมสรกีฬาเซ็นทรัล
สมศักดิ์ การถาง,2568,"Masters , Hopes & Kids 2025 Circuit 1",ประเภทชายเดี่ยวอายุ 40 ปี ขึ้นไป,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
สมศักดิ์ การถาง,2568,"Masters , Hopes & Kids 2025 Circuit 2",ประเภทชายเดี่ยวอายุ 50 ปี ขึ้นไป,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
สมศักดิ์ การถาง,2568,NCN THAMMASAT TABLE TENNIS OPEN 2025,ประเภทชายคู่อายุ 50 ปีขึ้นไป,รองชนะเลิศ,NCN TABLE TENNIS
สมศักดิ์ การถาง,2568,SPRC SUPER CUP 2025,ประเภทชายเดี่ยวอายุ 40 ปีขึ้นไป,รองชนะเลิศ,NCN TABLE TENNIS
สมศักดิ์ การถาง,2568,SPRC SUPER CUP 2025,ประเภทชายเดี่ยวอายุ 50 ปีขึ้นไป,รองชนะเลิศ,NCN TABLE TENNIS
สมศักดิ์ การถาง,2567,King Cup 2024,ประเภทชายเดี่ยวอายุ 50 ปี ขึ้นไป,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
สมศักดิ์ การถาง,2567,M – Sport Master Table Tennis Club Championships 2024,ประเภททีมชายอายุ 50 – 59 ปี,ชนะเลิศ,ราชนาวี B
สมศักดิ์ การถาง,2567,Master Table Tennis 2024 Circuit 2,ประเภทชายเดี่ยวอายุ 40 ปี ขึ้นไป,รองชนะเลิศ,สโมสรกีฬาเซ็นทรัล
สมศักดิ์ การถาง,2567,Master Table Tennis 2024 Circuit 2,ประเภทชายเดี่ยวอายุ 50 ปี ขึ้นไป,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
สมศักดิ์ การถาง,2567,BUTTERFLY & SISB OPEN 2024,ประเภทชายเดี่ยวอายุ 50 ปีขึ้นไป,ตำแหน่งที่ 3,NCN TABEL TENNIS TEAM
สมศักดิ์ การถาง,2567,ฮั่วเคี้ยวขอนแก่น แชมป์เปี้ยนชิพ ครั้งที่ 3,ประเภทชายเดี่ยวอายุ 40 ปี ขึ้นไป,ชนะเลิศ,สโมสรกีฬาเซ็นทรัล
สมศักดิ์ การถาง,2567,SPRC - CALTEX SUPER CUP 2024,ประเภทชายเดี่ยวอายุ 50 ปี ขึ้นไป,ชนะเลิศ,Lighthouse Sport Club
สมศักดิ์ การถาง,2566,King Cup 2023,ประเภทชายเดี่ยวอายุ 50 ปี ขึ้นไป,ชนะเลิศ,กองทัพบก
สมศักดิ์ การถาง,2566,Master Table Tennis Club Championships 2023,ประเภททีมชายอายุ 50 – 59 ปี,ชนะเลิศ,กองทัพบก
สมศักดิ์ การถาง,2566,Master Table Tennis 2023 Circuit 1,ประเภทชายเดี่ยวอายุ 50 ปี ขึ้นไป,รองชนะเลิศ,สโมสรกีฬาเซ็นทรัล
สมศักดิ์ การถาง,2566,Master Table Tennis 2023 Circuit 2,ประเภทชายเดี่ยวอายุ 50 ปี ขึ้นไป,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
สมศักดิ์ การถาง,2566,Master Table Tennis 2023 Circuit 3,ประเภทชายเดี่ยวอายุ 50 ปี ขึ้นไป,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
สมศักดิ์ การถาง,2566,BUTTERFLY & SISB OPEN 2023,ประเภทชายเดี่ยวอายุ 50 ปีขึ้นไป,ตำแหน่งที่ 3,NCN TABEL TENNIS TEAM
สมศักดิ์ การถาง,2565,M Electrolyte Master Club Table Tennis Championships 2021,ประเภททีมชายอายุ 40 – 49 ปี,ชนะเลิศ,กองทัพบก A
สมศักดิ์ การถาง,2565,M Electrolyte Master Table Tennis Club Championships 2022,ประเภททีมชายอายุ 40 – 49 ปี,ชนะเลิศ,กองทัพบก A
สมศักดิ์ การถาง,2565,Master Table Tennis 2021 Circuit 1,ประเภทชายเดี่ยวอายุ 40 ปี ขึ้นไป,ชนะเลิศ,สโมสรกีฬาเซ็นทรัล
สมศักดิ์ การถาง,2565,Master Table Tennis 2022 Circuit 3,ประเภทชายเดี่ยวอายุ 40 ปี ขึ้นไป,รองชนะเลิศ,สโมสรกีฬาเซ็นทรัล
สมศักดิ์ ปิยะภาณี,2568,"Masters , Hopes & Kids 2025 Circuit 3",ประเภทชายเดี่ยวอายุ 65 ปี ขึ้นไป,ตำแหน่งที่ 3,EGAT
สมศักดิ์ ปิยะภาณี,2568,"Masters , Hopes & Kids 2025 Circuit 3",ประเภทชายเดี่ยวอายุ 60 ปี ขึ้นไป,ตำแหน่งที่ 3,EGAT
สมศักดิ์ ปิยะภาณี,2567,M – Sport Master Table Tennis Club Championships 2024,ประเภททีมชายอายุ 65 – 69 ปี,รองชนะเลิศ,BIE 651
สมศักดิ์ ปิยะภาณี,2567,Master Table Tennis 2024 Circuit 3,ประเภทชายเดี่ยวอายุ 60 ปี ขึ้นไป,รองชนะเลิศ,EGAT
สมศักดิ์ ปิยะภาณี,2567,Master Table Tennis 2024 Circuit 3,ประเภทชายเดี่ยวอายุ 65 ปี ขึ้นไป,ตำแหน่งที่ 3,EGAT
สมศักดิ์ ปิยะภาณี,2566,King Cup 2023,ประเภทชายเดี่ยวอายุ 65 ปี ขึ้นไป,รองชนะเลิศ,EGAT
สมศักดิ์ ปิยะภาณี,2566,Master Table Tennis Club Championships 2023,ประเภททีมชายอายุ 65 – 69 ปี,ตำแหน่งที่ 3,BIE 652
สมศักดิ์ ปิยะภาณี,2566,Master Table Tennis 2023 Circuit 2,ประเภทชายเดี่ยวอายุ 65 ปี ขึ้นไป,ตำแหน่งที่ 3,EGAT
สมศักดิ์ ปิยะภาณี,2565,M Electrolyte Master Club Table Tennis Championships 2021,ประเภททีมชายอายุ 60 - 64 ปี,ตำแหน่งที่ 3,BIE 601
สรวีย์ ยุติธาดา,2568,SET Table Tennis Club Championships 2025,ประเภททีมเยาวชนหญิงอายุไม่เกิน 19 ปี,รองชนะเลิศ,สโมสรเทเบิลเทนนิสบ้านปู A
สรวีย์ ยุติธาดา,2567,SET Table Tennis Club Championships 2024,ประเภททีมเยาวชนหญิงอายุไม่เกิน  17 ปี,ตำแหน่งที่ 3,สโมสรเทเบิลเทนนิสบ้านปู A
สรายุทธ ชวินดท์,2568,NCN THAMMASAT TABLE TENNIS OPEN 2025,ประเภทชายคู่อายุ 50 ปีขึ้นไป,ตำแหน่งที่ 3,ITC GLOBAL
สราวุธ ชัยสุวรรณ,2565,M Electrolyte Master Club Table Tennis Championships 2021,ประเภททีมชายอายุ 40 – 49 ปี,ตำแหน่งที่ 3,สโมสรเทเบิลเทนนิสตำรวจ M401
สราวุธ สังขรัตน์,2568,SET Table Tennis Club Championships 2025,ประเภททีมเยาวชนชายอายุไม่เกิน 19 ปี,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล A
สราวุธ สังขรัตน์,2568,SET Table Tennis Club Championships 2025,ประเภททีมเยาวชนชายอายุไม่เกิน 17 ปี,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล A
สราวุธ สังขรัตน์,2568,All Thailand 2025 Circuit 1,ประเภทเยาวชนชายเดี่ยวอายุไม่เกิน 17 ปี ,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
สราวุธ สังขรัตน์,2568,All Thailand 2025 Circuit 2,ประเภทเยาวชนชายเดี่ยวอายุไม่เกิน 17 ปี ,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
สราวุธ สังขรัตน์,2568,All Thailand 2025 Circuit 3,ประเภทเยาวชนชายคู่อายุ 16 -19 ปี,ชนะเลิศ,สโมสรกีฬาเซ็นทรัล
สราวุธ สังขรัตน์,2568,Chonburi PAO Table Tennis Open 2025,ประเภทเยาวชนชายเดี่ยวอายุไม่เกิน 17 ปี ,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
สราวุธ สังขรัตน์,2568,Chonburi PAO Table Tennis Open 2025,ประเภทเยาวชนชายเดี่ยวอายุไม่เกิน 19 ปี ,รองชนะเลิศ,สโมสรกีฬาเซ็นทรัล
สราวุธ สังขรัตน์,2568,NCN THAMMASAT TABLE TENNIS OPEN 2025,ประเภทเยาวชนชายคู่อายุไม่เกิน 16-19 ปี,ตำแหน่งที่ 3,เป๊าะแป๊ะ ACADENN
สราวุธ สังขรัตน์,2567,King Cup 2024,ประเภทเยาวชนชายเดี่ยวอายุไม่เกิน 15 ปี ,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
สราวุธ สังขรัตน์,2567,King Cup 2024,ประเภทเยาวชนชายคู่อายุ 12 - 15  ปี,ชนะเลิศ,สโมสรกีฬาเซ็นทรัล
สราวุธ สังขรัตน์,2567,SET Table Tennis Club Championships 2024,ประเภททีมเยาวชนชายอายุไม่เกิน  17 ปี,รองชนะเลิศ,สโมสรกีฬาเซ็นทรัล A
สราวุธ สังขรัตน์,2567,SET Table Tennis Club Championships 2024,ประเภททีมเยาวชนชายอายุไม่เกิน   15 ปี,ชนะเลิศ,สโมสรกีฬาเซ็นทรัล A
สราวุธ สังขรัตน์,2567,All Thailand2024 Circuit 1,ประเภทเยาวชนชายคู่อายุ 12 - 15  ปี,ชนะเลิศ,สโมสรกีฬาเซ็นทรัล
สราวุธ สังขรัตน์,2567,All Thailand2024 Circuit 1,ประเภทเยาวชนชายเดี่ยวอายุไม่เกิน 15 ปี ,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
สราวุธ สังขรัตน์,2567,All Thailand 2024 Circuit 2,ประเภทเยาวชนชายคู่อายุ 12 - 15  ปี,ชนะเลิศ,สโมสรกีฬาเซ็นทรัล
สราวุธ สังขรัตน์,2567,All Thailand 2024 Circuit 2,ประเภทเยาวชนชายเดี่ยวอายุไม่เกิน 15 ปี ,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
สราวุธ สังขรัตน์,2567,All Thailand 2024 Circuit 3,ประเภทเยาวชนชายคู่อายุ 12 - 15  ปี,รองชนะเลิศ,สโมสรกีฬาเซ็นทรัล
สราวุธ สังขรัตน์,2567,All Thailand 2024 Circuit 3,ประเภทเยาวชนชายเดี่ยวอายุไม่เกิน 15 ปี ,รองชนะเลิศ,สโมสรกีฬาเซ็นทรัล
สราวุธ สังขรัตน์,2567,Zeer – Joola Table Tennis Cup 2024,ประเภทเยาวชนชายเดี่ยวอายุไม่เกิน 15 ปี ,รองชนะเลิศ,สโมสรกีฬาเซ็นทรัล
สราวุธ สังขรัตน์,2567,Chonburi PAO Table Tennis Open 2024,ประเภทเยาวชนชายเดี่ยวอายุไม่เกิน 15 ปี ,รองชนะเลิศ,สโมสรกีฬาเซ็นทรัล
สราวุธ สังขรัตน์,2567,BUTTERFLY & SISB OPEN 2024,ประเภทเยาวชนชายเดี่ยวอายุไม่เกิน 15 ปี ,ชนะเลิศ,สโมสรกีฬาเซ็นทรัล
สราวุธ สังขรัตน์,2567,ฮั่วเคี้ยวขอนแก่น แชมป์เปี้ยนชิพ ครั้งที่ 3,ประเภทเยาวชนชายเดี่ยวอายุไม่เกิน 15 ปี ,ชนะเลิศ,สโมสรกีฬาเซ็นทรัล
สราวุธ สังขรัตน์,2567,ฮั่วเคี้ยวขอนแก่น แชมป์เปี้ยนชิพ ครั้งที่ 3,ประเภทเยาวชนชายเดี่ยวอายุไม่เกิน 17 ปี ,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
สราวุธ สังขรัตน์,2567,SPRC - CALTEX SUPER CUP 2024,ประเภทเยาวชนชายเดี่ยวอายุไม่เกิน 15 ปี ,รองชนะเลิศ,สโมสรกีฬาเซ็นทรัล
สราวุธ สังขรัตน์,2567,SPRC - CALTEX SUPER CUP 2024,ประเภทเยาวชนชายเดี่ยวอายุไม่เกิน 17 ปี ,ชนะเลิศ,สโมสรกีฬาเซ็นทรัล
สราวุธ สังขรัตน์,2566,SET Table Tennis Club Championships 2023,ประเภททีมเยาวชนชายอายุไม่เกิน   15 ปี,รองชนะเลิศ,สโมสรกีฬาเซ็นทรัล A
สราวุธ สังขรัตน์,2566,All Thailand 2023 Circuit 1,ประเภทเยาวชนชายคู่อายุ 12 - 15  ปี,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
สราวุธ สังขรัตน์,2566,All Thailand 2023 Circuit 2,ประเภทเยาวชนชายคู่อายุ 12 - 15  ปี,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
สราวุธ สังขรัตน์,2566,All Thailand 2023 Circuit 3,ประเภทเยาวชนชายเดี่ยวอายุไม่เกิน 15 ปี ,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
สราวุธ สังขรัตน์,2566,BUTTERFLY & SISB OPEN 2023,ประเภทเยาวชนชายเดี่ยวอายุไม่เกิน 15 ปี ,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
